code,grade,domain,cluster,requirement,pdf_page
1.G.1,1,Geometry,Reason with shapes and their attributes.,1. Distinguish between defining attributes versus non-defining attributes; build and draw shapes to possess defining attributes.,P16
1.G.2,1,Geometry,Reason with shapes and their attributes.,"2. Compose two-dimensional shapes (rectangles, squares, trapezoids, triangles, half-circles, and quarter-circles) or three-dimensional shapes (cubes, right rectangular prisms, right circular cones, and right circular cylinders) to create a composite shape, and compose new shapes from the composite shape.",P16
1.G.3,1,Geometry,Reason with shapes and their attributes.,"3. Partition circles and rectangles into two and four equal shares, describe the shares using the words halves, fourths, and quarters, and use the phrases half of, fourth of, and quarter of. Describe the whole as two of, or four of the shares. Understand for these examples that decomposing into more equal shares creates smaller shares.",P16
2.OA.1,2,Operations and Algebraic Thinking,Represent and solve problems involving addition and subtraction.,"1. Use addition and subtraction within 100 to solve one- and two-step word problems involving situations of adding to, taking from, putting together, taking apart, and comparing, with unknowns in all positions,",P19
2.OA.2,2,Operations and Algebraic Thinking,Add and subtract within 20.,"2. Fluently add and subtract within 20 using mental strategies. By end of Grade 2, know from memory all sums of two one-digit numbers.",P19
2.OA.3,2,Operations and Algebraic Thinking,Work with equal groups of objects to gain foundations for multiplication.,"3. Determine whether a group of objects (up to 20) has an odd or even number of members,",P19
2.OA.4,2,Operations and Algebraic Thinking,Work with equal groups of objects to gain foundations for multiplication.,4. Use addition to find the total number of objects arranged in rectangular arrays with up to 5 rows and up to 5 columns; write an equation to express the total as a sum of equal addends.,P19
2.NBT.1,2,Number and Operations in Base Ten,Understand place value.,"1. Understand that the three digits of a three-digit number represent amounts of hundreds, tens, and ones; a. 100 can be thought of as a bundle of ten tens — called a “hundred.” b. The numbers 100, 200, 300, 400, 500, 600, 700, 800, 900 refer to one, two, three, four, five, six, seven, eight, or nine hundreds (and 0 tens and 0 ones).",P19
2.NBT.2,2,Number and Operations in Base Ten,Understand place value.,"2. Count within 1000; skip-count by 5s, 10s, and 100s.",P19
2.NBT.3,2,Number and Operations in Base Ten,Understand place value.,"3. Read and write numbers to 1000 using base-ten numerals, number names, and expanded form.",P19
2.NBT.4,2,Number and Operations in Base Ten,Understand place value.,"4. Compare two three-digit numbers based on meanings of the hundreds, tens, and ones digits, using >, =, and < symbols to record the results of comparisons.",P19
2.NBT.5,2,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,"5. Fluently add and subtract within 100 using strategies based on place value, properties of operations, and/or the relationship between addition and subtraction.",P19
2.NBT.6,2,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,6. Add up to four two-digit numbers using strategies based on place value and properties of operations.,P19
2.NBT.7,2,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,"7. Add and subtract within 1000, using concrete models or drawings and strategies based on place value, properties of operations, and/or the relationship between addition and subtraction; relate the strategy to a written method. Understand that in adding or subtracting three-digit numbers, one adds or subtracts hundreds and hundreds, tens and tens, ones and ones; and sometimes it is necessary to compose or decompose tens or hundreds.",P19
2.NBT.8,2,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,"8. Mentally add 10 or 100 to a given number 100–900, and mentally subtract 10 or 100 from a given number 100–900.",P19
2.NBT.9,2,Number and Operations in Base Ten,Use place value understanding and properties of operations to add and subtract.,"9. Explain why addition and subtraction strategies work, using place value and the properties of operations.",P19
2.MD.1,2,Measurement and Data,Measure and estimate lengths in standard units.,"1. Measure the length of an object by selecting and using appropriate tools such as rulers, yardsticks, meter sticks, and measuring tapes.",P20
2.MD.2,2,Measurement and Data,Measure and estimate lengths in standard units.,"2. Measure the length of an object twice, using length units of different lengths for the two measurements; describe how the two measurements relate to the size of the unit chosen.",P20
2.MD.3,2,Measurement and Data,Measure and estimate lengths in standard units.,"3. Estimate lengths using units of inches, feet, centimeters, and meters.",P20
2.MD.4,2,Measurement and Data,Measure and estimate lengths in standard units.,"4. Measure to determine how much longer one object is than another, expressing the length difference in terms of a standard length unit.",P20
2.MD.5,2,Measurement and Data,Relate addition and subtraction to length.,"5. Use addition and subtraction within 100 to solve word problems involving lengths that are given in the same units,",P20
2.MD.6,2,Measurement and Data,Relate addition and subtraction to length.,"6. Represent whole numbers as lengths from 0 on a number line diagram with equally spaced points corresponding to the numbers 0, 1, 2,..., and represent whole-number sums and differences within 100 on a number line diagram.",P20
2.MD.7,2,Measurement and Data,Work with time and money.,"7. Tell and write time from analog and digital clocks to the nearest five minutes, using a.m. and p.m.",P20
2.MD.8,2,Measurement and Data,Work with time and money.,"8. Solve word problems involving dollar bills, quarters, dimes, nickels, and pennies, using $ and ¢ symbols appropriately.",P20
2.MD.9,2,Measurement and Data,Represent and interpret data.,"9. Generate measurement data by measuring lengths of several objects to the nearest whole unit, or by making repeated measurements of the same object. Show the measurements by making a line plot, where the horizontal scale is marked off in whole-number units.",P20
2.MD.10,2,Measurement and Data,Represent and interpret data.,"10. Draw a picture graph and a bar graph (with single-unit scale) to represent a data set with up to four categories. Solve simple put-together, take-apart, and compare problems using information presented in a bar graph.",P20
2.G.1,2,Geometry,Reason with shapes and their attributes.,"1. Recognize and draw shapes having specified attributes, such as a given number of angles or a given number of equal faces. Identify triangles, quadrilaterals, pentagons, hexagons, and cubes.",P20
2.G.2,2,Geometry,Reason with shapes and their attributes.,2. Partition a rectangle into rows and columns of same-size squares and count to find the total number of them.,P20
2.G.3,2,Geometry,Reason with shapes and their attributes.,"3. Partition circles and rectangles into two, three, or four equal shares, describe the shares using the words halves, thirds, half of, a third of, etc., and describe the whole as two halves, three thirds, four fourths. Recognize that equal shares of identical wholes need not have the same shape.",P20
3.OA.1,3,Operations and Algebraic Thinking,Represent and solve problems involving multiplication and division.,"1. Interpret products of whole numbers,",P23
3.OA.2,3,Operations and Algebraic Thinking,Represent and solve problems involving multiplication and division.,"2. Interpret whole-number quotients of whole numbers,",P23
3.OA.3,3,Operations and Algebraic Thinking,Represent and solve problems involving multiplication and division.,"3. Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities,",P23
3.OA.4,3,Operations and Algebraic Thinking,Represent and solve problems involving multiplication and division.,4. Determine the unknown whole number in a multiplication or division equation relating three whole numbers.,P23
3.OA.5,3,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,5. Apply properties of operations as strategies to multiply and divide.,P23
3.OA.6,3,Operations and Algebraic Thinking,Understand properties of multiplication and the relationship between multiplication and division.,6. Understand division as an unknown-factor problem.,P23
3.OA.7,3,Operations and Algebraic Thinking,Multiply and divide within 100.,"7. Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",P23
3.OA.8,3,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.",8. Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.,P23
3.OA.9,3,Operations and Algebraic Thinking,"Solve problems involving the four operations, and identify and explain patterns in arithmetic.","9. Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations.",P23
3.NBT.1,3,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.[4],1. Use place value understanding to round whole numbers to the nearest 10 or 100.,P24
3.NBT.2,3,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.[4],"2. Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",P24
3.NBT.3,3,Number and Operations in Base Ten,Use place value understanding and properties of operations to perform multi-digit arithmetic.[4],3. Multiply one-digit whole numbers by multiples of 10 in the range 10–90 using strategies based on place value and properties of operations.,P24
3.NF.1,3,Number and Operations—Fractions[5],Develop understanding of fractions as numbers.,1. Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.,P24
3.NF.2,3,Number and Operations—Fractions[5],Develop understanding of fractions as numbers.,2. Understand a fraction as a number on the number line; represent fractions on a number line diagram. a. Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line. b. Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.,P24
3.NF.3,3,Number and Operations—Fractions[5],Develop understanding of fractions as numbers.,"3. Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size. a. Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line. b. Recognize and generate simple equivalent fractions, c. Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. d. Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions,",P24
3.MD.1,3,Measurement and Data,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.","1. Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes,","P24, 25"
3.MD.2,3,Measurement and Data,"Solve problems involving measurement and estimation of intervals of time, liquid volumes, and masses of objects.","2. Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l). Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units,","P24, 25"
3.MD.3,3,Measurement and Data,Represent and interpret data.,3. Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step “how many more” and “how many less” problems using information presented in scaled bar graphs.,P25
3.MD.4,3,Measurement and Data,Represent and interpret data.,"4. Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters.",P25
3.MD.5,3,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,"5. Recognize area as an attribute of plane figures and understand concepts of area measurement. a. A square with side length 1 unit, called “a unit square,” is said to have “one square unit” of area, and can be used to measure area. b. A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.",P25
3.MD.6,3,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,"6. Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).",P25
3.MD.7,3,Measurement and Data,Geometric measurement: understand concepts of area and relate area to multiplication and to addition.,"7. Relate area to the operations of multiplication and addition. a. Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths. b. Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning. c. Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning. d. Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",P25
3.MD.8,3,Measurement and Data,Geometric measurement: recognize perimeter as an attribute of plane figures and distinguish between linear and area measures.,"8. Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",P25
3.G.1,3,Geometry,Reason with shapes and their attributes.,"1. Understand that shapes in different categories may share attributes, and that the shared attributes can define a larger category. Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",P26
3.G.2,3,Geometry,Reason with shapes and their attributes.,2. Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole.,P26
4.OA.1,4,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,"1. Interpret a multiplication equation as a comparison,",P29
4.OA.2,4,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,"2. Multiply or divide to solve word problems involving multiplicative comparison,",P29
4.OA.3,4,Operations and Algebraic Thinking,Use the four operations with whole numbers to solve problems.,"3. Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",P29
4.OA.4,4,Operations and Algebraic Thinking,Gain familiarity with factors and multiples.,4. Find all factor pairs for a whole number in the range 1–100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1–100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1–100 is prime or composite.,P29
4.OA.5,4,Operations and Algebraic Thinking,Generate and analyze patterns.,5. Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself.,P29
4.NBT.1,4,Number and Operations in Base Ten[2],Generalize place value understanding for multi-digit whole numbers.,"1. Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right.",P29
4.NBT.2,4,Number and Operations in Base Ten[2],Generalize place value understanding for multi-digit whole numbers.,"2. Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",P29
4.NBT.3,4,Number and Operations in Base Ten[2],Generalize place value understanding for multi-digit whole numbers.,3. Use place value understanding to round multi-digit whole numbers to any place.,P29
4.NBT.4,4,Number and Operations in Base Ten[2],Use place value understanding and properties of operations to perform multi-digit arithmetic.,4. Fluently add and subtract multi-digit whole numbers using the standard algorithm.,"P29, 30"
4.NBT.5,4,Number and Operations in Base Ten[2],Use place value understanding and properties of operations to perform multi-digit arithmetic.,"5. Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.","P29, 30"
4.NBT.6,4,Number and Operations in Base Ten[2],Use place value understanding and properties of operations to perform multi-digit arithmetic.,"6. Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.","P29, 30"
4.NF.1,4,Number and Operations—Fractions[3],Extend understanding of fraction equivalence and ordering.,"1. Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.",P30
4.NF.2,4,Number and Operations—Fractions[3],Extend understanding of fraction equivalence and ordering.,"2. Compare two fractions with different numerators and different denominators,",P30
4.NF.3,4,Number and Operations—Fractions[3],Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,"3. Understand a fraction a/b with a > 1 as a sum of fractions 1/b. a. Understand addition and subtraction of fractions as joining and separating parts referring to the same whole. b. Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, c. Add and subtract mixed numbers with like denominators, d. Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators,",P30
4.NF.4,4,Number and Operations—Fractions[3],Build fractions from unit fractions by applying and extending previous understandings of operations on whole numbers.,"4. Apply and extend previous understandings of multiplication to multiply a fraction by a whole number. a. Understand a fraction a/b as a multiple of 1/b. b. Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. c. Solve word problems involving multiplication of a fraction by a whole number,",P30
4.NF.5,4,Number and Operations—Fractions[3],"Understand decimal notation for fractions, and compare decimal fractions.","5. Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.4",P31
4.NF.6,4,Number and Operations—Fractions[3],"Understand decimal notation for fractions, and compare decimal fractions.",6. Use decimal notation for fractions with denominators 10 or 100.,P31
4.NF.7,4,Number and Operations—Fractions[3],"Understand decimal notation for fractions, and compare decimal fractions.","7. Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions,",P31
4.MD.1,4,Measurement and Data,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,"1. Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table.",P31
4.MD.2,4,Measurement and Data,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,"2. Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.",P31
4.MD.3,4,Measurement and Data,Solve problems involving measurement and conversion of measurements from a larger unit to a smaller unit.,3. Apply the area and perimeter formulas for rectangles in real world and mathematical problems.,P31
4.MD.4,4,Measurement and Data,Represent and interpret data.,"4. Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots.",P31
4.MD.5,4,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,"5. Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement: a. An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a “one-degree angle,” and can be used to measure angles. b. An angle that turns through n one-degree angles is said to have an angle measure of n degrees.","P31, 32"
4.MD.6,4,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,6. Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.,"P31, 32"
4.MD.7,4,Measurement and Data,Geometric measurement: understand concepts of angle and measure angles.,"7. Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems,","P31, 32"
4.G.1,4,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.","1. Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.",P32
4.G.2,4,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.","2. Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles.",P32
4.G.3,4,Geometry,"Draw and identify lines and angles, and classify shapes by properties of their lines and angles.",3. Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.,P32
5.OA.1,5,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"1. Use parentheses, brackets, or braces in numerical expressions, and evaluate expressions with these symbols.",P35
5.OA.2,5,Operations and Algebraic Thinking,Write and interpret numerical expressions.,"2. Write simple expressions that record calculations with numbers, and interpret numerical expressions without evaluating them.",P35
5.OA.3,5,Operations and Algebraic Thinking,Analyze patterns and relationships.,"3. Generate two numerical patterns using two given rules. Identify apparent relationships between corresponding terms. Form ordered pairs consisting of corresponding terms from the two patterns, and graph the ordered pairs on a coordinate plane.",P35
5.NBT.1,5,Number and Operations in Base Ten,Understand the place value system.,"1. Recognize that in a multi-digit number, a digit in one place represents 10 times as much as it represents in the place to its right and 1/10 of what it represents in the place to its left.",P35
5.NBT.2,5,Number and Operations in Base Ten,Understand the place value system.,"2. Explain patterns in the number of zeros of the product when multiplying a number by powers of 10, and explain patterns in the placement of the decimal point when a decimal is multiplied or divided by a power of 10. Use whole-number exponents to denote powers of 10.",P35
5.NBT.3,5,Number and Operations in Base Ten,Understand the place value system.,"3. Read, write, and compare decimals to thousandths. a. Read and write decimals to thousandths using base-ten numerals, number names, and expanded form, b. Compare two decimals to thousandths based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",P35
5.NBT.4,5,Number and Operations in Base Ten,Understand the place value system.,4. Use place value understanding to round decimals to any place.,P35
5.NBT.5,5,Number and Operations in Base Ten,Perform operations with multi-digit whole numbers and with decimals to hundredths.,5. Fluently multiply multi-digit whole numbers using the standard algorithm.,P35
